musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkpoint
Ryan Redington,22,3/3 22:25:00,14,3/4 01:37:00,14,3h 12m,3h 5m,3/3 19:20:00,9.73,Skwentna
Lev Shvarts,13,3/4 01:24:00,14,3/4 01:40:00,14,0h 16m,6h 50m,3/3 18:34:00,4.39,Skwentna
Paige Drobny,40,3/4 01:32:00,14,3/4 01:42:00,14,0h 10m,5h 59m,3/3 19:33:00,5.01,Skwentna
Aaron Peck,47,3/4 01:27:00,14,3/4 01:46:00,14,0h 19m,5h 29m,3/3 19:58:00,5.47,Skwentna
Ed Hopkins,33,3/4 01:49:00,14,3/4 01:56:00,14,0h 7m,6h 19m,3/3 19:30:00,4.75,Skwentna
Aaron Burmeister,38,3/4 01:55:00,14,3/4 02:00:00,14,0h 5m,6h 17m,3/3 19:38:00,4.77,Skwentna
Martin Buser,21,3/4 02:14:00,14,3/4 02:18:00,14,0h 4m,7h 30m,3/3 18:44:00,4.00,Skwentna
Matthew Failor,17,3/3 23:42:00,14,3/4 02:33:00,14,2h 51m,3h 10m,3/3 20:32:00,9.47,Skwentna
Sebastien Dos Santos Borges,46,3/4 02:29:00,14,3/4 02:51:00,14,0h 22m,6h 11m,3/3 20:18:00,4.85,Skwentna
Mitch Seavey,32,3/3 22:56:00,14,3/4 02:53:00,14,3h 57m,3h 21m,3/3 19:35:00,8.96,Skwentna
Richie Beattie,50,3/4 02:51:00,14,3/4 03:01:00,14,0h 10m,6h 25m,3/3 20:26:00,4.68,Skwentna
Travis Beals,51,3/3 23:22:00,14,3/4 03:11:00,14,3h 49m,3h 39m,3/3 19:43:00,8.22,Skwentna
Ramey Smyth,6,3/3 22:10:00,14,3/4 03:17:00,14,5h 7m,3h 37m,3/3 18:33:00,8.29,Skwentna
Wade Marrs,36,3/3 23:38:00,14,3/4 03:21:00,14,3h 43m,3h 10m,3/3 20:28:00,9.47,Skwentna
