musher,checkName,checkPlace,index
Jessie Royer,Yentna,9,2
Joar Leifseth Ulsom,Anvik,2,13
Joar Leifseth Ulsom,Eagle Island,1,15
Joar Leifseth Ulsom,Elim,2,20
Joar Leifseth Ulsom,Finger Lake,3,4
Joar Leifseth Ulsom,Grayling,2,14
Joar Leifseth Ulsom,Iditarod,3,11
Joar Leifseth Ulsom,Kaltag,3,16
Joar Leifseth Ulsom,Koyuk,2,19
Joar Leifseth Ulsom,McGrath,2,8
Joar Leifseth Ulsom,Nikolai,1,7
Joar Leifseth Ulsom,Nome,2,23
Joar Leifseth Ulsom,Ophir,8,10
Joar Leifseth Ulsom,Rainy Pass,7,5
Joar Leifseth Ulsom,Rohn,3,6
Joar Leifseth Ulsom,Safety,2,22
Joar Leifseth Ulsom,Shageluk,1,12
Joar Leifseth Ulsom,Shaktoolik,3,18
Joar Leifseth Ulsom,Skwentna,29,3
Joar Leifseth Ulsom,Takotna,1,9
Joar Leifseth Ulsom,Unalakleet,3,17
Joar Leifseth Ulsom,White Mountain,2,21
Joar Leifseth Ulsom,Willow,27,1
Joar Leifseth Ulsom,Yentna,21,2
Kristin Bacon,Anvik,42,13
Kristin Bacon,Eagle Island,44,15
Kristin Bacon,Elim,37,20
Kristin Bacon,Finger Lake,50,4
Kristin Bacon,Grayling,42,14
Kristin Bacon,Iditarod,43,11
Kristin Bacon,Kaltag,45,16
Kristin Bacon,Koyuk,37,19
Kristin Bacon,McGrath,45,8
Kristin Bacon,Nikolai,44,7
Kristin Bacon,Nome,39,23
Kristin Bacon,Ophir,45,10
Kristin Bacon,Rainy Pass,40,5
Kristin Bacon,Rohn,44,6
Kristin Bacon,Safety,39,22
Kristin Bacon,Shageluk,44,12
Kristin Bacon,Shaktoolik,40,18
Kristin Bacon,Skwentna,48,3
Kristin Bacon,Takotna,26,9
Kristin Bacon,Unalakleet,42,17
Kristin Bacon,White Mountain,40,21
Kristin Bacon,Willow,7,1
Kristin Bacon,Yentna,30,2
Kristy Berington,Anvik,23,13
Kristy Berington,Eagle Island,20,15
Kristy Berington,Elim,17,20
Kristy Berington,Finger Lake,20,4
Kristy Berington,Grayling,21,14
Kristy Berington,Iditarod,30,11
Kristy Berington,Kaltag,18,16
Kristy Berington,Koyuk,17,19
Kristy Berington,McGrath,23,8
Kristy Berington,Nikolai,32,7
Kristy Berington,Nome,16,23
Kristy Berington,Ophir,7,10
Kristy Berington,Rainy Pass,29,5
Kristy Berington,Rohn,18,6
Kristy Berington,Safety,16,22
Kristy Berington,Shageluk,25,12
Kristy Berington,Shaktoolik,20,18
Kristy Berington,Skwentna,9,3
Kristy Berington,Takotna,24,9
Kristy Berington,Unalakleet,23,17
Kristy Berington,White Mountain,16,21
Kristy Berington,Willow,25,1
Kristy Berington,Yentna,23,2
Lance Mackey,Anvik,25,13
Lance Mackey,Eagle Island,27,15
Lance Mackey,Elim,29,20
Lance Mackey,Finger Lake,26,4
Lance Mackey,Grayling,24,14
Lance Mackey,Iditarod,32,11
Lance Mackey,Kaltag,24,16
Lance Mackey,Koyuk,25,19
Lance Mackey,McGrath,36,8
Lance Mackey,Nikolai,35,7
Lance Mackey,Nome,27,23
Lance Mackey,Ophir,37,10
Lance Mackey,Rainy Pass,35,5
Lance Mackey,Rohn,35,6
Lance Mackey,Safety,28,22
Lance Mackey,Shageluk,33,12
Lance Mackey,Shaktoolik,29,18
Lance Mackey,Skwentna,34,3
Lance Mackey,Takotna,42,9
Lance Mackey,Unalakleet,28,17
Lance Mackey,White Mountain,28,21
Lance Mackey,Willow,43,1
Lance Mackey,Yentna,37,2
Lev Shvarts,Anvik,20,13
Lev Shvarts,Eagle Island,18,15
Lev Shvarts,Finger Lake,29,4
Lev Shvarts,Grayling,18,14
Lev Shvarts,Iditarod,21,11
Lev Shvarts,Kaltag,22,16
Lev Shvarts,McGrath,17,8
Lev Shvarts,Nikolai,18,7
Lev Shvarts,Ophir,20,10
Lev Shvarts,Rainy Pass,18,5
Lev Shvarts,Rohn,24,6
Lev Shvarts,Shageluk,17,12
Lev Shvarts,Skwentna,35,3
Lev Shvarts,Takotna,30,9
Lev Shvarts,Unalakleet,30,17
Lev Shvarts,Willow,12,1
Lev Shvarts,Yentna,8,2
Linwood Fiedler,Anvik,19,13
Linwood Fiedler,Eagle Island,17,15
Linwood Fiedler,Elim,13,20
Linwood Fiedler,Finger Lake,1,4
Linwood Fiedler,Grayling,17,14
Linwood Fiedler,Iditarod,17,11
Linwood Fiedler,Kaltag,16,16
Linwood Fiedler,Koyuk,14,19
Linwood Fiedler,McGrath,18,8
Linwood Fiedler,Nikolai,15,7
Linwood Fiedler,Nome,12,23
Linwood Fiedler,Ophir,23,10
Linwood Fiedler,Rainy Pass,6,5
Linwood Fiedler,Rohn,9,6
Linwood Fiedler,Safety,12,22
Linwood Fiedler,Shageluk,16,12
Linwood Fiedler,Shaktoolik,18,18
Linwood Fiedler,Skwentna,13,3
Linwood Fiedler,Takotna,15,9
Linwood Fiedler,Unalakleet,15,17
Linwood Fiedler,White Mountain,12,21
Linwood Fiedler,Willow,14,1
Linwood Fiedler,Yentna,5,2
Marcelle Fressineau,Finger Lake,46,4
Marcelle Fressineau,Iditarod,47,11
Marcelle Fressineau,McGrath,46,8
Marcelle Fressineau,Nikolai,47,7
Marcelle Fressineau,Ophir,34,10
Marcelle Fressineau,Rainy Pass,45,5
Marcelle Fressineau,Rohn,49,6
Marcelle Fressineau,Skwentna,20,3
Marcelle Fressineau,Takotna,39,9
Marcelle Fressineau,Willow,26,1
Marcelle Fressineau,Yentna,25,2
Martin Apayauq Reitan,Anvik,37,13
Martin Apayauq Reitan,Eagle Island,37,15
Martin Apayauq Reitan,Elim,33,20
Martin Apayauq Reitan,Finger Lake,35,4
Martin Apayauq Reitan,Grayling,37,14
Martin Apayauq Reitan,Iditarod,37,11
Martin Apayauq Reitan,Kaltag,39,16
