currentMusher,musherLocation,currentTimeStamp,index,relOrder
Jessie Holmes,Iditarod_outTime,2019-03-08T09:00:00Z,22,1
Jessie Holmes,Shageluk_inTime,2019-03-08T10:00:00Z,23,1
Jessie Holmes,Shageluk_inTime,2019-03-08T11:00:00Z,23,1
Jessie Holmes,Shageluk_inTime,2019-03-08T12:00:00Z,23,1
Jessie Holmes,Shageluk_inTime,2019-03-08T13:00:00Z,23,1
Jessie Holmes,Shageluk_inTime,2019-03-08T14:00:00Z,23,1
Jessie Holmes,Shageluk_inTime,2019-03-08T15:00:00Z,23,1
Jessie Holmes,Shageluk_inTime,2019-03-08T16:00:00Z,23,1
Jessie Holmes,Shageluk_inTime,2019-03-08T17:00:00Z,23,1
Jessie Holmes,Shageluk_outTime,2019-03-08T18:00:00Z,24,1
Jessie Holmes,Shageluk_outTime,2019-03-08T19:00:00Z,24,1
Jessie Holmes,Shageluk_outTime,2019-03-08T20:00:00Z,24,1
Jessie Holmes,Anvik_outTime,2019-03-08T21:00:00Z,26,1
Jessie Holmes,Anvik_outTime,2019-03-08T22:00:00Z,26,1
Jessie Holmes,Grayling_inTime,2019-03-08T23:00:00Z,27,1
Jessie Holmes,Grayling_inTime,2019-03-09T00:00:00Z,27,1
Jessie Holmes,Grayling_inTime,2019-03-09T01:00:00Z,27,1
Jessie Holmes,Grayling_inTime,2019-03-09T02:00:00Z,27,1
Jessie Holmes,Grayling_outTime,2019-03-09T03:00:00Z,28,1
Jessie Holmes,Grayling_outTime,2019-03-09T04:00:00Z,28,1
Jessie Holmes,Grayling_outTime,2019-03-09T05:00:00Z,28,1
Jessie Holmes,Grayling_outTime,2019-03-09T06:00:00Z,28,1
Jessie Holmes,Grayling_outTime,2019-03-09T07:00:00Z,28,1
Jessie Holmes,Grayling_outTime,2019-03-09T08:00:00Z,28,1
Jessie Holmes,Grayling_outTime,2019-03-09T09:00:00Z,28,1
Jessie Holmes,Eagle Island_inTime,2019-03-09T10:00:00Z,29,1
Jessie Holmes,Eagle Island_inTime,2019-03-09T11:00:00Z,29,1
Jessie Holmes,Eagle Island_inTime,2019-03-09T12:00:00Z,29,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T13:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T14:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T15:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T16:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T17:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T18:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T19:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T20:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T21:00:00Z,30,1
Jessie Holmes,Eagle Island_outTime,2019-03-09T22:00:00Z,30,1
Jessie Holmes,Kaltag_inTime,2019-03-09T23:00:00Z,31,1
Jessie Holmes,Kaltag_inTime,2019-03-10T00:00:00Z,31,1
Jessie Holmes,Kaltag_inTime,2019-03-10T01:00:00Z,31,1
Jessie Holmes,Kaltag_inTime,2019-03-10T02:00:00Z,31,1
Jessie Holmes,Kaltag_inTime,2019-03-10T03:00:00Z,31,1
Jessie Holmes,Kaltag_inTime,2019-03-10T04:00:00Z,31,1
Jessie Holmes,Kaltag_inTime,2019-03-10T05:00:00Z,31,1
Jessie Holmes,Kaltag_inTime,2019-03-10T06:00:00Z,31,1
Jessie Holmes,Kaltag_outTime,2019-03-10T07:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T08:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T09:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T10:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T11:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T12:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T13:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T14:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T15:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T16:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T17:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T18:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T19:00:00Z,32,1
Jessie Holmes,Kaltag_outTime,2019-03-10T20:00:00Z,32,1
Jessie Holmes,Unalakleet_inTime,2019-03-10T21:00:00Z,33,1
Jessie Holmes,Unalakleet_inTime,2019-03-10T22:00:00Z,33,1
Jessie Holmes,Unalakleet_inTime,2019-03-10T23:00:00Z,33,1
Jessie Holmes,Unalakleet_inTime,2019-03-11T00:00:00Z,33,1
Jessie Holmes,Unalakleet_outTime,2019-03-11T01:00:00Z,34,1
Jessie Holmes,Unalakleet_outTime,2019-03-11T02:00:00Z,34,1
Jessie Holmes,Unalakleet_outTime,2019-03-11T03:00:00Z,34,1
Jessie Holmes,Unalakleet_outTime,2019-03-11T04:00:00Z,34,1
Jessie Holmes,Unalakleet_outTime,2019-03-11T05:00:00Z,34,1
Jessie Holmes,Unalakleet_outTime,2019-03-11T06:00:00Z,34,1
Jessie Holmes,Shaktoolik_inTime,2019-03-11T07:00:00Z,35,1
Jessie Holmes,Shaktoolik_inTime,2019-03-11T08:00:00Z,35,1
Jessie Holmes,Shaktoolik_inTime,2019-03-11T09:00:00Z,35,1
Jessie Holmes,Shaktoolik_inTime,2019-03-11T10:00:00Z,35,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T11:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T12:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T13:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T14:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T15:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T16:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T17:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T18:00:00Z,36,1
Jessie Holmes,Shaktoolik_outTime,2019-03-11T19:00:00Z,36,1
Jessie Holmes,Koyuk_inTime,2019-03-11T20:00:00Z,37,1
Jessie Holmes,Koyuk_inTime,2019-03-11T21:00:00Z,37,1
Jessie Holmes,Koyuk_inTime,2019-03-11T22:00:00Z,37,1
Jessie Holmes,Koyuk_inTime,2019-03-11T23:00:00Z,37,1
Jessie Holmes,Koyuk_inTime,2019-03-12T00:00:00Z,37,1
Jessie Holmes,Koyuk_inTime,2019-03-12T01:00:00Z,37,1
Jessie Holmes,Koyuk_outTime,2019-03-12T02:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T03:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T04:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T05:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T06:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T07:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T08:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T09:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T10:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T11:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T12:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T13:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T14:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T15:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T16:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T17:00:00Z,38,1
