musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder,rest8
Ed Hopkins,33,3/9 00:19:00,13,3/9 08:32:00,13,8h 13m,9h 12m,3/8 15:07:00,5.98,Shageluk,2019-03-09T00:19:00Z,2019-03-09T08:32:00Z,2019-03-08T15:07:00Z,552,493,0,0,34,22,1
Jessica Klejka,24,3/9 07:28:00,12,3/9 15:28:00,12,8h 0m,8h 28m,3/8 23:00:00,6.5,Shageluk,2019-03-09T07:28:00Z,2019-03-09T15:28:00Z,2019-03-08T23:00:00Z,508,480,0,0,36,32,1
Martin Apayauq Reitan,39,3/9 11:15:00,13,3/9 16:40:00,13,5h 25m,6h 17m,3/9 04:58:00,8.75,Shageluk,2019-03-09T11:15:00Z,2019-03-09T16:40:00Z,2019-03-09T04:58:00Z,377,325,0,0,38,29,0
Niklas Wikstrand,42,3/9 11:11:00,14,3/9 17:48:00,14,6h 37m,6h 43m,3/9 04:28:00,8.19,Shageluk,2019-03-09T11:11:00Z,2019-03-09T17:48:00Z,2019-03-09T04:28:00Z,403,397,0,0,37,NA,0
Sebastien Dos Santos Borges,46,3/9 12:23:00,12,3/9 20:24:00,12,8h 1m,7h 39m,3/9 04:44:00,7.19,Shageluk,2019-03-09T12:23:00Z,2019-03-09T20:24:00Z,2019-03-09T04:44:00Z,459,481,0,0,39,NA,1
Ryan Santiago,49,3/9 13:39:00,14,3/9 21:39:00,14,8h 0m,6h 31m,3/9 07:08:00,8.44,Shageluk,2019-03-09T13:39:00Z,2019-03-09T21:39:00Z,2019-03-09T07:08:00Z,391,480,0,0,40,30,1
Blair Braverman,11,3/9 18:48:00,11,3/10 04:02:00 *,11,8h 14m,8h 18m,3/9 10:30:00,6.63,Shageluk,2019-03-09T18:48:00Z,2019-03-10T04:02:00Z,2019-03-09T10:30:00Z,498,554,0,0,41,37,1
Anja Radano,2,3/10 01:47:00,11,3/10 07:27:00 *,11,4h 40m,12h 8m,3/9 13:39:00,4.53,Shageluk,2019-03-10T01:47:00Z,2019-03-10T07:27:00Z,2019-03-09T13:39:00Z,728,340,0,0,43,36,0
Kristin Bacon,8,3/10 01:50:00,14,3/10 07:30:00 *,14,4h 40m,12h 17m,3/9 13:33:00,4.48,Shageluk,2019-03-10T01:50:00Z,2019-03-10T07:30:00Z,2019-03-09T13:33:00Z,737,340,0,0,44,39,0
Michael Baker,41,3/10 00:47:00,10,3/10 10:11:00 *,10,8h 24m,7h 15m,3/9 17:32:00,7.59,Shageluk,2019-03-10T00:47:00Z,2019-03-10T10:11:00Z,2019-03-09T17:32:00Z,435,564,0,0,42,34,1
Alison Lifka,37,3/10 05:12:00 *,13,3/10 11:11:00,13,5h 59m,9h 42m,3/9 18:30:00,5.67,Shageluk,2019-03-10T05:12:00Z,2019-03-10T11:11:00Z,2019-03-09T18:30:00Z,642,359,0,0,45,33,0
Jeremy Keller,48,3/10 09:27:00 *,9,3/10 17:51:00,8,8h 24m,8h 26m,3/10 00:01:00,6.52,Shageluk,2019-03-10T09:27:00Z,2019-03-10T17:51:00Z,2019-03-10T00:01:00Z,566,504,1,0,46,38,1
Victoria Hardwick,30,3/10 09:29:00 *,14,3/10 17:52:00,14,8h 23m,9h 7m,3/9 23:22:00,6.03,Shageluk,2019-03-10T09:29:00Z,2019-03-10T17:52:00Z,2019-03-09T23:22:00Z,607,503,0,0,47,40,1
Cindy Gallea,53,3/10 09:29:00 *,12,3/10 17:59:00,12,8h 30m,8h 27m,3/10 00:02:00,6.51,Shageluk,2019-03-10T09:29:00Z,2019-03-10T17:59:00Z,2019-03-10T00:02:00Z,567,510,0,0,48,NA,1
Nicolas Petit,20,3/8 04:23:00,14,3/8 08:58:00,12,4h 35m,3h 30m,3/8 00:53:00,7.14,Anvik,2019-03-08T04:23:00Z,2019-03-08T08:58:00Z,2019-03-08T00:53:00Z,210,275,2,0,1,NA,0
Joar Leifseth Ulsom,28,3/8 11:27:00,11,3/8 11:28:00,11,0h 1m,3h 12m,3/8 08:15:00,7.81,Anvik,2019-03-08T11:27:00Z,2019-03-08T11:28:00Z,2019-03-08T08:15:00Z,192,1,0,0,2,2,0
Jessie Royer,14,3/8 11:38:00,13,3/8 11:40:00,13,0h 2m,3h 34m,3/8 08:04:00,7.01,Anvik,2019-03-08T11:38:00Z,2019-03-08T11:40:00Z,2019-03-08T08:04:00Z,214,2,0,0,3,3,0
Peter Kaiser,9,3/8 12:18:00,12,3/8 12:20:00,12,0h 2m,3h 23m,3/8 08:55:00,7.39,Anvik,2019-03-08T12:18:00Z,2019-03-08T12:20:00Z,2019-03-08T08:55:00Z,203,2,0,0,4,1,0
Mitch Seavey,32,3/8 12:35:00,11,3/8 12:38:00,11,0h 3m,3h 31m,3/8 09:04:00,7.11,Anvik,2019-03-08T12:35:00Z,2019-03-08T12:38:00Z,2019-03-08T09:04:00Z,211,3,0,0,5,9,0
Aliy Zirkle,19,3/8 15:44:00,14,3/8 15:47:00,14,0h 3m,3h 21m,3/8 12:23:00,7.46,Anvik,2019-03-08T15:44:00Z,2019-03-08T15:47:00Z,2019-03-08T12:23:00Z,201,3,0,0,6,4,0
Richie Diehl,29,3/8 16:45:00,14,3/8 16:48:00,13,0h 3m,3h 14m,3/8 13:31:00,7.73,Anvik,2019-03-08T16:45:00Z,2019-03-08T16:48:00Z,2019-03-08T13:31:00Z,194,3,1,0,7,11,0
Ryan Redington,22,3/8 17:44:00,13,3/8 17:49:00,13,0h 5m,3h 16m,3/8 14:28:00,7.65,Anvik,2019-03-08T17:44:00Z,2019-03-08T17:49:00Z,2019-03-08T14:28:00Z,196,5,0,0,8,NA,0
Matthew Failor,17,3/8 19:12:00,12,3/8 19:14:00,12,0h 2m,3h 16m,3/8 15:56:00,7.65,Anvik,2019-03-08T19:12:00Z,2019-03-08T19:14:00Z,2019-03-08T15:56:00Z,196,2,0,0,9,18,0
Paige Drobny,40,3/8 19:36:00,12,3/8 19:40:00,12,0h 4m,3h 16m,3/8 16:20:00,7.65,Anvik,2019-03-08T19:36:00Z,2019-03-08T19:40:00Z,2019-03-08T16:20:00Z,196,4,0,0,10,7,0
Aaron Burmeister,38,3/8 19:52:00,11,3/8 19:56:00,11,0h 4m,3h 32m,3/8 16:20:00,7.08,Anvik,2019-03-08T19:52:00Z,2019-03-08T19:56:00Z,2019-03-08T16:20:00Z,212,4,0,0,11,10,0
Jessie Holmes,5,3/8 20:13:00,13,3/8 20:15:00,13,0h 2m,2h 47m,3/8 17:26:00,8.98,Anvik,2019-03-08T20:13:00Z,2019-03-08T20:15:00Z,2019-03-08T17:26:00Z,167,2,0,0,12,28,0
Matt Hall,3,3/8 20:24:00,11,3/8 20:25:00,11,0h 1m,3h 11m,3/8 17:13:00,7.85,Anvik,2019-03-08T20:24:00Z,2019-03-08T20:25:00Z,2019-03-08T17:13:00Z,191,1,0,0,13,6,0
Mats Pettersson,4,3/8 21:41:00,11,3/8 21:48:00,11,0h 7m,3h 11m,3/8 18:30:00,7.85,Anvik,2019-03-08T21:41:00Z,2019-03-08T21:48:00Z,2019-03-08T18:30:00Z,191,7,0,0,15,20,0
Ramey Smyth,6,3/8 22:20:00,12,3/8 22:25:00,12,0h 5m,3h 37m,3/8 18:43:00,6.91,Anvik,2019-03-08T22:20:00Z,2019-03-08T22:25:00Z,2019-03-08T18:43:00Z,217,5,0,0,17,8,0
Travis Beals,51,3/8 22:05:00,11,3/8 22:33:00,11,0h 28m,3h 5m,3/8 19:00:00,8.11,Anvik,2019-03-08T22:05:00Z,2019-03-08T22:33:00Z,2019-03-08T19:00:00Z,185,28,0,0,16,5,0
Linwood Fiedler,15,3/9 00:40:00,12,3/9 00:42:00,12,0h 2m,3h 29m,3/8 21:11:00,7.18,Anvik,2019-03-09T00:40:00Z,2019-03-09T00:42:00Z,2019-03-08T21:11:00Z,209,2,0,0,19,12,0
Lev Shvarts,13,3/9 02:58:00,11,3/9 02:59:00,11,0h 1m,3h 10m,3/8 23:48:00,7.89,Anvik,2019-03-09T02:58:00Z,2019-03-09T02:59:00Z,2019-03-08T23:48:00Z,190,1,0,0,20,NA,0
Jason Campeau,12,3/9 03:41:00,11,3/9 03:43:00,11,0h 2m,3h 16m,3/9 00:25:00,7.65,Anvik,2019-03-09T03:41:00Z,2019-03-09T03:43:00Z,2019-03-09T00:25:00Z,196,2,0,0,21,31,0
Kristy Berington,26,3/9 03:52:00,12,3/9 03:54:00,12,0h 2m,3h 34m,3/9 00:18:00,7.01,Anvik,2019-03-09T03:52:00Z,2019-03-09T03:54:00Z,2019-03-09T00:18:00Z,214,2,0,0,23,16,0
Anna Berington,10,3/9 03:52:00,13,3/9 03:55:00,13,0h 3m,3h 34m,3/9 00:18:00,7.01,Anvik,2019-03-09T03:52:00Z,2019-03-09T03:55:00Z,2019-03-09T00:18:00Z,214,3,0,0,24,17,0
Michi Konno,43,3/9 03:51:00,12,3/9 04:01:00,11,0h 10m,3h 21m,3/9 00:30:00,7.46,Anvik,2019-03-09T03:51:00Z,2019-03-09T04:01:00Z,2019-03-09T00:30:00Z,201,10,1,0,22,26,0
Lance Mackey,44,3/9 03:55:00,12,3/9 04:09:00,12,0h 14m,3h 26m,3/9 00:29:00,7.28,Anvik,2019-03-09T03:55:00Z,2019-03-09T04:09:00Z,2019-03-09T00:29:00Z,206,14,0,0,25,27,0
Wade Marrs,36,3/9 04:12:00,11,3/9 04:14:00,11,0h 2m,3h 11m,3/9 01:01:00,7.85,Anvik,2019-03-09T04:12:00Z,2019-03-09T04:14:00Z,2019-03-09T01:01:00Z,191,2,0,0,26,14,0
Seth Barnes,45,3/9 04:15:00,13,3/9 04:18:00,12,0h 3m,3h 7m,3/9 01:08:00,8.02,Anvik,2019-03-09T04:15:00Z,2019-03-09T04:18:00Z,2019-03-09T01:08:00Z,187,3,1,0,27,19,0
Brett Bruggeman,35,3/9 04:18:00,12,3/9 04:19:00,12,0h 1m,3h 9m,3/9 01:09:00,7.94,Anvik,2019-03-09T04:18:00Z,2019-03-09T04:19:00Z,2019-03-09T01:09:00Z,189,1,0,0,28,NA,0
Sarah Stokey,52,3/9 04:41:00,12,3/9 04:41:00,12,0h 0m,3h 19m,3/9 01:22:00,7.54,Anvik,2019-03-09T04:41:00Z,2019-03-09T04:41:00Z,2019-03-09T01:22:00Z,199,0,0,0,29,35,0
Charley Bejna,31,3/9 05:52:00,11,3/9 06:00:00,10,0h 8m,3h 30m,3/9 02:22:00,7.14,Anvik,2019-03-09T05:52:00Z,2019-03-09T06:00:00Z,2019-03-09T02:22:00Z,210,8,1,0,30,25,0
Jeff King,23,3/8 21:40:00,14,3/9 06:35:00,13,8h 55m,3h 27m,3/8 18:13:00,7.25,Anvik,2019-03-08T21:40:00Z,2019-03-09T06:35:00Z,2019-03-08T18:13:00Z,207,535,1,0,14,13,1
Jeff Deeter,25,3/9 06:47:00,10,3/9 06:48:00,10,0h 1m,3h 12m,3/9 03:35:00,7.81,Anvik,2019-03-09T06:47:00Z,2019-03-09T06:48:00Z,2019-03-09T03:35:00Z,192,1,0,0,31,15,0
Aaron Peck,47,3/8 22:45:00,9,3/9 06:49:00,9,8h 4m,3h 43m,3/8 19:02:00,6.73,Anvik,2019-03-08T22:45:00Z,2019-03-09T06:49:00Z,2019-03-08T19:02:00Z,223,484,0,0,18,24,1
Robert Redington,34,3/9 08:59:00,11,3/9 09:05:00,9,0h 6m,3h 14m,3/9 05:45:00,7.73,Anvik,2019-03-09T08:59:00Z,2019-03-09T09:05:00Z,2019-03-09T05:45:00Z,194,6,2,0,32,NA,0
Martin Buser,21,3/9 09:06:00,12,3/9 09:08:00,12,0h 2m,3h 3m,3/9 06:03:00,8.2,Anvik,2019-03-09T09:06:00Z,2019-03-09T09:08:00Z,2019-03-09T06:03:00Z,183,2,0,0,33,23,0
Richie Beattie,50,3/9 09:22:00,13,3/9 09:27:00,13,0h 5m,3h 4m,3/9 06:18:00,8.15,Anvik,2019-03-09T09:22:00Z,2019-03-09T09:27:00Z,2019-03-09T06:18:00Z,184,5,0,0,34,21,0
Ed Hopkins,33,3/9 12:01:00,13,3/9 12:15:00,13,0h 14m,3h 29m,3/9 08:32:00,7.18,Anvik,2019-03-09T12:01:00Z,2019-03-09T12:15:00Z,2019-03-09T08:32:00Z,209,14,0,0,35,22,0
Jessica Klejka,24,3/9 18:42:00,12,3/9 19:00:00,12,0h 18m,3h 14m,3/9 15:28:00,7.73,Anvik,2019-03-09T18:42:00Z,2019-03-09T19:00:00Z,2019-03-09T15:28:00Z,194,18,0,0,36,32,0
Martin Apayauq Reitan,39,3/9 20:14:00,13,3/9 20:17:00,13,0h 3m,3h 34m,3/9 16:40:00,7.01,Anvik,2019-03-09T20:14:00Z,2019-03-09T20:17:00Z,2019-03-09T16:40:00Z,214,3,0,0,37,29,0
Niklas Wikstrand,42,3/9 20:44:00,14,3/9 20:46:00,14,0h 2m,2h 56m,3/9 17:48:00,8.52,Anvik,2019-03-09T20:44:00Z,2019-03-09T20:46:00Z,2019-03-09T17:48:00Z,176,2,0,0,38,NA,0
Sebastien Dos Santos Borges,46,3/9 23:50:00,12,3/9 23:52:00,12,0h 2m,3h 26m,3/9 20:24:00,7.28,Anvik,2019-03-09T23:50:00Z,2019-03-09T23:52:00Z,2019-03-09T20:24:00Z,206,2,0,0,39,NA,0
Ryan Santiago,49,3/10 00:32:00,14,3/10 00:47:00,14,0h 15m,2h 53m,3/9 21:39:00,8.67,Anvik,2019-03-10T00:32:00Z,2019-03-10T00:47:00Z,2019-03-09T21:39:00Z,173,15,0,0,40,30,0
Blair Braverman,11,3/10 07:37:00,11,3/10 07:42:00,11,0h 5m,3h 35m,3/10 04:02:00,6.98,Anvik,2019-03-10T07:37:00Z,2019-03-10T07:42:00Z,2019-03-10T04:02:00Z,215,5,0,0,41,37,0
Kristin Bacon,8,3/10 11:35:00,14,3/10 11:57:00,14,0h 22m,4h 5m,3/10 07:30:00,6.12,Anvik,2019-03-10T11:35:00Z,2019-03-10T11:57:00Z,2019-03-10T07:30:00Z,245,22,0,0,42,39,0
Anja Radano,2,3/10 11:36:00,11,3/10 11:58:00,11,0h 22m,4h 9m,3/10 07:27:00,6.02,Anvik,2019-03-10T11:36:00Z,2019-03-10T11:58:00Z,2019-03-10T07:27:00Z,249,22,0,0,43,36,0
Michael Baker,41,3/10 13:36:00,10,3/10 13:46:00,10,0h 10m,3h 25m,3/10 10:11:00,7.32,Anvik,2019-03-10T13:36:00Z,2019-03-10T13:46:00Z,2019-03-10T10:11:00Z,205,10,0,0,44,34,0
Alison Lifka,37,3/10 14:36:00,13,3/10 14:40:00,13,0h 4m,3h 25m,3/10 11:11:00,7.32,Anvik,2019-03-10T14:36:00Z,2019-03-10T14:40:00Z,2019-03-10T11:11:00Z,205,4,0,0,45,33,0
Cindy Gallea,53,3/10 21:50:00,12,3/10 22:04:00,12,0h 14m,3h 51m,3/10 17:59:00,6.49,Anvik,2019-03-10T21:50:00Z,2019-03-10T22:04:00Z,2019-03-10T17:59:00Z,231,14,0,0,46,NA,0
Victoria Hardwick,30,3/10 22:05:00,14,3/10 22:11:00,14,0h 6m,4h 13m,3/10 17:52:00,5.93,Anvik,2019-03-10T22:05:00Z,2019-03-10T22:11:00Z,2019-03-10T17:52:00Z,253,6,0,0,47,40,0
Jeremy Keller,48,3/10 22:12:00,8,3/10 22:20:00,8,0h 8m,4h 21m,3/10 17:51:00,5.75,Anvik,2019-03-10T22:12:00Z,2019-03-10T22:20:00Z,2019-03-10T17:51:00Z,261,8,0,0,48,38,0
Joar Leifseth Ulsom,28,3/8 13:43:00,11,3/8 18:47:00,11,5h 4m,2h 15m,3/8 11:28:00,8,Grayling,2019-03-08T13:43:00Z,2019-03-08T18:47:00Z,2019-03-08T11:28:00Z,135,304,0,0,2,2,0
Nicolas Petit,20,3/8 11:48:00,12,3/8 19:50:00,11,8h 2m,2h 50m,3/8 08:58:00,6.35,Grayling,2019-03-08T11:48:00Z,2019-03-08T19:50:00Z,2019-03-08T08:58:00Z,170,482,1,0,1,NA,1
Peter Kaiser,9,3/8 14:43:00,12,3/8 20:04:00,11,5h 21m,2h 23m,3/8 12:20:00,7.55,Grayling,2019-03-08T14:43:00Z,2019-03-08T20:04:00Z,2019-03-08T12:20:00Z,143,321,1,0,4,1,0
Jessie Royer,14,3/8 14:06:00,13,3/8 22:06:00,13,8h 0m,2h 26m,3/8 11:40:00,7.4,Grayling,2019-03-08T14:06:00Z,2019-03-08T22:06:00Z,2019-03-08T11:40:00Z,146,480,0,0,3,3,1
Mitch Seavey,32,3/8 15:03:00,11,3/8 23:03:00,11,8h 0m,2h 25m,3/8 12:38:00,7.45,Grayling,2019-03-08T15:03:00Z,2019-03-08T23:03:00Z,2019-03-08T12:38:00Z,145,480,0,0,5,9,1
Richie Diehl,29,3/8 19:15:00,13,3/8 23:28:00,13,4h 13m,2h 27m,3/8 16:48:00,7.35,Grayling,2019-03-08T19:15:00Z,2019-03-08T23:28:00Z,2019-03-08T16:48:00Z,147,253,0,0,7,11,0
Aliy Zirkle,19,3/8 18:20:00,14,3/8 23:35:00,14,5h 15m,2h 33m,3/8 15:47:00,7.06,Grayling,2019-03-08T18:20:00Z,2019-03-08T23:35:00Z,2019-03-08T15:47:00Z,153,315,0,0,6,4,0
Ryan Redington,22,3/8 20:10:00,13,3/9 00:24:00,13,4h 14m,2h 21m,3/8 17:49:00,7.66,Grayling,2019-03-08T20:10:00Z,2019-03-09T00:24:00Z,2019-03-08T17:49:00Z,141,254,0,0,8,NA,0
Matthew Failor,17,3/8 21:22:00,12,3/9 02:13:00,12,4h 51m,2h 8m,3/8 19:14:00,8.44,Grayling,2019-03-08T21:22:00Z,2019-03-09T02:13:00Z,2019-03-08T19:14:00Z,128,291,0,0,9,18,0
Paige Drobny,40,3/8 21:59:00,12,3/9 02:25:00,12,4h 26m,2h 19m,3/8 19:40:00,7.77,Grayling,2019-03-08T21:59:00Z,2019-03-09T02:25:00Z,2019-03-08T19:40:00Z,139,266,0,0,10,7,0
Matt Hall,3,3/8 22:42:00,11,3/9 02:45:00,11,4h 3m,2h 17m,3/8 20:25:00,7.88,Grayling,2019-03-08T22:42:00Z,2019-03-09T02:45:00Z,2019-03-08T20:25:00Z,137,243,0,0,13,6,0
Aaron Burmeister,38,3/8 22:33:00,11,3/9 02:54:00,11,4h 21m,2h 37m,3/8 19:56:00,6.88,Grayling,2019-03-08T22:33:00Z,2019-03-09T02:54:00Z,2019-03-08T19:56:00Z,157,261,0,0,12,10,0
Jessie Holmes,5,3/8 22:20:00,13,3/9 02:55:00,13,4h 35m,2h 5m,3/8 20:15:00,8.64,Grayling,2019-03-08T22:20:00Z,2019-03-09T02:55:00Z,2019-03-08T20:15:00Z,125,275,0,0,11,28,0
Mats Pettersson,4,3/9 00:13:00,11,3/9 05:20:00,11,5h 7m,2h 25m,3/8 21:48:00,7.45,Grayling,2019-03-09T00:13:00Z,2019-03-09T05:20:00Z,2019-03-08T21:48:00Z,145,307,0,0,14,20,0
Lev Shvarts,13,3/9 05:26:00,11,3/9 05:26:00,11,0h 0m,2h 27m,3/9 02:59:00,7.35,Grayling,2019-03-09T05:26:00Z,2019-03-09T05:26:00Z,2019-03-09T02:59:00Z,147,0,0,0,18,NA,0
Travis Beals,51,3/9 00:50:00,11,3/9 05:56:00,11,5h 6m,2h 17m,3/8 22:33:00,7.88,Grayling,2019-03-09T00:50:00Z,2019-03-09T05:56:00Z,2019-03-08T22:33:00Z,137,306,0,0,15,5,0
Ramey Smyth,6,3/9 00:58:00,12,3/9 06:09:00,12,5h 11m,2h 33m,3/8 22:25:00,7.06,Grayling,2019-03-09T00:58:00Z,2019-03-09T06:09:00Z,2019-03-08T22:25:00Z,153,311,0,0,16,8,0
Jason Campeau,12,3/9 06:19:00,11,3/9 06:24:00,11,0h 5m,2h 36m,3/9 03:43:00,6.92,Grayling,2019-03-09T06:19:00Z,2019-03-09T06:24:00Z,2019-03-09T03:43:00Z,156,5,0,0,19,31,0
Linwood Fiedler,15,3/9 03:13:00,12,3/9 07:37:00,12,4h 24m,2h 31m,3/9 00:42:00,7.15,Grayling,2019-03-09T03:13:00Z,2019-03-09T07:37:00Z,2019-03-09T00:42:00Z,151,264,0,0,17,12,0
Jeff King,23,3/9 08:48:00,13,3/9 09:08:00,13,0h 20m,2h 13m,3/9 06:35:00,8.12,Grayling,2019-03-09T08:48:00Z,2019-03-09T09:08:00Z,2019-03-09T06:35:00Z,133,20,0,0,29,13,0
Aaron Peck,47,3/9 09:17:00,9,3/9 09:35:00,7,0h 18m,2h 28m,3/9 06:49:00,7.3,Grayling,2019-03-09T09:17:00Z,2019-03-09T09:35:00Z,2019-03-09T06:49:00Z,148,18,2,0,31,24,0
Wade Marrs,36,3/9 06:27:00,11,3/9 10:48:00,11,4h 21m,2h 13m,3/9 04:14:00,8.12,Grayling,2019-03-09T06:27:00Z,2019-03-09T10:48:00Z,2019-03-09T04:14:00Z,133,261,0,0,20,14,0
Anna Berington,10,3/9 06:29:00,13,3/9 11:29:00,12,5h 0m,2h 34m,3/9 03:55:00,7.01,Grayling,2019-03-09T06:29:00Z,2019-03-09T11:29:00Z,2019-03-09T03:55:00Z,154,300,1,0,22,17,0
Kristy Berington,26,3/9 06:28:00,12,3/9 11:30:00,12,5h 2m,2h 34m,3/9 03:54:00,7.01,Grayling,2019-03-09T06:28:00Z,2019-03-09T11:30:00Z,2019-03-09T03:54:00Z,154,302,0,0,21,16,0
Michi Konno,43,3/9 06:37:00,11,3/9 11:50:00,11,5h 13m,2h 36m,3/9 04:01:00,6.92,Grayling,2019-03-09T06:37:00Z,2019-03-09T11:50:00Z,2019-03-09T04:01:00Z,156,313,0,0,23,26,0
Brett Bruggeman,35,3/9 06:45:00,12,3/9 12:45:00,12,6h 0m,2h 26m,3/9 04:19:00,7.4,Grayling,2019-03-09T06:45:00Z,2019-03-09T12:45:00Z,2019-03-09T04:19:00Z,146,360,0,0,25,NA,0
Seth Barnes,45,3/9 06:49:00,12,3/9 12:45:00,11,5h 56m,2h 31m,3/9 04:18:00,7.15,Grayling,2019-03-09T06:49:00Z,2019-03-09T12:45:00Z,2019-03-09T04:18:00Z,151,356,1,0,26,19,0
Charley Bejna,31,3/9 08:30:00,10,3/9 14:25:00,10,5h 55m,2h 30m,3/9 06:00:00,7.2,Grayling,2019-03-09T08:30:00Z,2019-03-09T14:25:00Z,2019-03-09T06:00:00Z,150,355,0,0,28,25,0
Lance Mackey,44,3/9 06:44:00,12,3/9 14:50:00,12,8h 6m,2h 35m,3/9 04:09:00,6.97,Grayling,2019-03-09T06:44:00Z,2019-03-09T14:50:00Z,2019-03-09T04:09:00Z,155,486,0,0,24,27,1
Sarah Stokey,52,3/9 07:05:00,12,3/9 15:05:00,12,8h 0m,2h 24m,3/9 04:41:00,7.5,Grayling,2019-03-09T07:05:00Z,2019-03-09T15:05:00Z,2019-03-09T04:41:00Z,144,480,0,0,27,35,1
Jeff Deeter,25,3/9 09:13:00,10,3/9 15:51:00,9,6h 38m,2h 25m,3/9 06:48:00,7.45,Grayling,2019-03-09T09:13:00Z,2019-03-09T15:51:00Z,2019-03-09T06:48:00Z,145,398,1,0,30,15,0
Robert Redington,34,3/9 11:30:00,9,3/9 16:00:00,9,4h 30m,2h 25m,3/9 09:05:00,7.45,Grayling,2019-03-09T11:30:00Z,2019-03-09T16:00:00Z,2019-03-09T09:05:00Z,145,270,0,0,33,NA,0
Martin Buser,21,3/9 11:24:00,12,3/9 16:21:00,12,4h 57m,2h 16m,3/9 09:08:00,7.94,Grayling,2019-03-09T11:24:00Z,2019-03-09T16:21:00Z,2019-03-09T09:08:00Z,136,297,0,0,32,23,0
Richie Beattie,50,3/9 11:51:00,13,3/9 17:03:00,13,5h 12m,2h 24m,3/9 09:27:00,7.5,Grayling,2019-03-09T11:51:00Z,2019-03-09T17:03:00Z,2019-03-09T09:27:00Z,144,312,0,0,34,21,0
Ed Hopkins,33,3/9 14:44:00,13,3/9 19:16:00,13,4h 32m,2h 29m,3/9 12:15:00,7.25,Grayling,2019-03-09T14:44:00Z,2019-03-09T19:16:00Z,2019-03-09T12:15:00Z,149,272,0,0,35,22,0
Jessica Klejka,24,3/9 21:12:00,12,3/10 04:36:00 *,11,6h 24m,2h 12m,3/9 19:00:00,8.18,Grayling,2019-03-09T21:12:00Z,2019-03-10T04:36:00Z,2019-03-09T19:00:00Z,132,444,1,0,36,32,0
Martin Apayauq Reitan,39,3/9 22:51:00,13,3/10 05:20:00 *,13,5h 29m,2h 34m,3/9 20:17:00,7.01,Grayling,2019-03-09T22:51:00Z,2019-03-10T05:20:00Z,2019-03-09T20:17:00Z,154,389,0,0,37,29,0
Niklas Wikstrand,42,3/9 23:04:00,14,3/10 09:05:00 *,14,9h 1m,2h 18m,3/9 20:46:00,7.83,Grayling,2019-03-09T23:04:00Z,2019-03-10T09:05:00Z,2019-03-09T20:46:00Z,138,601,0,0,38,NA,1
Ryan Santiago,49,3/10 04:11:00 *,14,3/10 11:08:00,14,6h 57m,2h 24m,3/10 00:47:00,7.5,Grayling,2019-03-10T04:11:00Z,2019-03-10T11:08:00Z,2019-03-10T00:47:00Z,204,417,0,0,40,30,0
Sebastien Dos Santos Borges,46,3/10 03:27:00 *,12,3/10 11:43:00,12,8h 16m,2h 35m,3/9 23:52:00,6.97,Grayling,2019-03-10T03:27:00Z,2019-03-10T11:43:00Z,2019-03-09T23:52:00Z,215,496,0,0,39,NA,1
Blair Braverman,11,3/10 10:14:00,11,3/10 16:34:00,11,6h 20m,2h 32m,3/10 07:42:00,7.11,Grayling,2019-03-10T10:14:00Z,2019-03-10T16:34:00Z,2019-03-10T07:42:00Z,152,380,0,0,41,37,0
Kristin Bacon,8,3/10 14:30:00,14,3/10 23:20:00,13,8h 50m,2h 33m,3/10 11:57:00,7.06,Grayling,2019-03-10T14:30:00Z,2019-03-10T23:20:00Z,2019-03-10T11:57:00Z,153,530,1,0,42,39,1
Anja Radano,2,3/10 14:30:00,11,3/10 23:22:00,11,8h 52m,2h 32m,3/10 11:58:00,7.11,Grayling,2019-03-10T14:30:00Z,2019-03-10T23:22:00Z,2019-03-10T11:58:00Z,152,532,0,0,43,36,1
Alison Lifka,37,3/10 17:18:00,13,3/11 02:24:00,13,9h 6m,2h 38m,3/10 14:40:00,6.84,Grayling,2019-03-10T17:18:00Z,2019-03-11T02:24:00Z,2019-03-10T14:40:00Z,158,546,0,0,45,33,1
Michael Baker,41,3/10 16:20:00,10,3/11 02:29:00,9,10h 9m,2h 34m,3/10 13:46:00,7.01,Grayling,2019-03-10T16:20:00Z,2019-03-11T02:29:00Z,2019-03-10T13:46:00Z,154,609,1,0,44,34,1
Jeremy Keller,48,3/11 01:42:00,8,3/11 07:56:00,8,6h 14m,3h 22m,3/10 22:20:00,5.35,Grayling,2019-03-11T01:42:00Z,2019-03-11T07:56:00Z,2019-03-10T22:20:00Z,202,374,0,0,48,38,0
Victoria Hardwick,30,3/11 01:35:00,14,3/11 08:50:00,14,7h 15m,3h 24m,3/10 22:11:00,5.29,Grayling,2019-03-11T01:35:00Z,2019-03-11T08:50:00Z,2019-03-10T22:11:00Z,204,435,0,0,47,40,0
Cindy Gallea,53,3/11 01:24:00,12,3/11 09:34:00,12,8h 10m,3h 20m,3/10 22:04:00,5.4,Grayling,2019-03-11T01:24:00Z,2019-03-11T09:34:00Z,2019-03-10T22:04:00Z,200,490,0,0,46,NA,1
