musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder,rest8
Emily Maxwell,18,3/3 22:19:00,14,3/4 05:02:00,14,6h 43m,3h 30m,3/3 18:49:00,8.57,Skwentna,2019-03-03T22:19:00Z,2019-03-04T05:02:00Z,2019-03-03T18:49:00Z,210,403,0,0,8,NA,0
Kristin Bacon,8,3/4 03:58:00,14,3/4 05:19:00,14,1h 21m,8h 27m,3/3 19:31:00,3.55,Skwentna,2019-03-04T03:58:00Z,2019-03-04T05:19:00Z,2019-03-03T19:31:00Z,507,81,0,0,48,39,0
Shaynee Traska,7,3/4 01:26:00,14,3/4 05:20:00,14,3h 54m,3h 33m,3/3 21:53:00,8.45,Skwentna,2019-03-04T01:26:00Z,2019-03-04T05:20:00Z,2019-03-03T21:53:00Z,213,234,0,0,36,NA,0
Seth Barnes,45,3/4 02:21:00,14,3/4 05:26:00,14,3h 5m,3h 16m,3/3 23:05:00,9.18,Skwentna,2019-03-04T02:21:00Z,2019-03-04T05:26:00Z,2019-03-03T23:05:00Z,196,185,0,0,42,19,0
Martin Apayauq Reitan,39,3/4 00:09:00,14,3/4 05:36:00,14,5h 27m,3h 35m,3/3 20:34:00,8.37,Skwentna,2019-03-04T00:09:00Z,2019-03-04T05:36:00Z,2019-03-03T20:34:00Z,215,327,0,0,23,29,0
Jeremy Keller,48,3/3 23:27:00,13,3/4 06:00:00,13,6h 33m,3h 19m,3/3 20:08:00,9.05,Skwentna,2019-03-03T23:27:00Z,2019-03-04T06:00:00Z,2019-03-03T20:08:00Z,199,393,0,0,15,38,0
Niklas Wikstrand,42,3/4 02:30:00,14,3/4 06:45:00,14,4h 15m,3h 21m,3/3 23:09:00,8.96,Skwentna,2019-03-04T02:30:00Z,2019-03-04T06:45:00Z,2019-03-03T23:09:00Z,201,255,0,0,44,NA,0
Cindy Gallea,53,3/3 23:50:00,14,3/4 06:53:00,14,7h 3m,3h 32m,3/3 20:18:00,8.49,Skwentna,2019-03-03T23:50:00Z,2019-03-04T06:53:00Z,2019-03-03T20:18:00Z,212,423,0,0,21,NA,0
Cindy Abbott,16,3/4 00:42:00,14,3/4 06:53:00,14,6h 11m,3h 21m,3/3 21:21:00,8.96,Skwentna,2019-03-04T00:42:00Z,2019-03-04T06:53:00Z,2019-03-03T21:21:00Z,201,371,0,0,26,NA,0
Michael Baker,41,3/4 03:28:00,14,3/4 07:47:00,14,4h 19m,3h 21m,3/4 00:07:00,8.96,Skwentna,2019-03-04T03:28:00Z,2019-03-04T07:47:00Z,2019-03-04T00:07:00Z,201,259,0,0,47,34,0
Alison Lifka,37,3/4 04:14:00,14,3/4 08:05:00,14,3h 51m,8h 29m,3/3 19:45:00,3.54,Skwentna,2019-03-04T04:14:00Z,2019-03-04T08:05:00Z,2019-03-03T19:45:00Z,509,231,0,0,52,33,0
Ryan Santiago,49,3/4 04:11:00,14,3/4 08:42:00,14,4h 31m,8h 18m,3/3 19:53:00,3.61,Skwentna,2019-03-04T04:11:00Z,2019-03-04T08:42:00Z,2019-03-03T19:53:00Z,498,271,0,0,51,30,0
Victoria Hardwick,30,3/4 04:09:00,14,3/4 09:00:00,14,4h 51m,3h 32m,3/4 00:37:00,8.49,Skwentna,2019-03-04T04:09:00Z,2019-03-04T09:00:00Z,2019-03-04T00:37:00Z,212,291,0,0,50,40,0
Peter Kaiser,9,3/4 06:05:00,14,3/4 06:10:00,14,0h 5m,6h 25m,3/3 23:40:00,6.23,Finger Lake,2019-03-04T06:05:00Z,2019-03-04T06:10:00Z,2019-03-03T23:40:00Z,385,5,0,0,7,1,0
Nicolas Petit,20,3/4 06:09:00,14,3/4 06:10:00,14,0h 1m,8h 17m,3/3 21:52:00,4.83,Finger Lake,2019-03-04T06:09:00Z,2019-03-04T06:10:00Z,2019-03-03T21:52:00Z,497,1,0,0,9,NA,0
Ryan Redington,22,3/4 06:07:00,14,3/4 06:12:00,14,0h 5m,4h 30m,3/4 01:37:00,8.89,Finger Lake,2019-03-04T06:07:00Z,2019-03-04T06:12:00Z,2019-03-04T01:37:00Z,270,5,0,0,8,NA,0
Matt Hall,3,3/4 07:36:00,14,3/4 07:41:00,14,0h 5m,9h 52m,3/3 21:44:00,4.05,Finger Lake,2019-03-04T07:36:00Z,2019-03-04T07:41:00Z,2019-03-03T21:44:00Z,592,5,0,0,14,6,0
Jessie Holmes,5,3/4 07:47:00,14,3/4 07:48:00,14,0h 1m,4h 23m,3/4 03:24:00,9.13,Finger Lake,2019-03-04T07:47:00Z,2019-03-04T07:48:00Z,2019-03-04T03:24:00Z,263,1,0,0,16,28,0
